Date ,Boston
Jan-2000,100
Feb-2000,100.36
Mar-2000,101.31
Apr-2000,103.27
May-2000,105.85
Jun-2000,108.48
Jul-2000,110
Aug-2000,111.38
Sep-2000,112.67
Oct-2000,114.11
Nov-2000,115.36
Dec-2000,116.56
Jan-2001,117.67
Feb-2001,118.51
Mar-2001,119.94
Apr-2001,121.54
May-2001,123.11
Jun-2001,125.12
Jul-2001,126.76
Aug-2001,128.26
Sep-2001,129.62
Oct-2001,130.51
Nov-2001,130.94
Dec-2001,130.06
Jan-2002,129.93
Feb-2002,129.63
Mar-2002,131.21
Apr-2002,133.34
May-2002,136.76
Jun-2002,139.56
Jul-2002,141.77
Aug-2002,143.66
Sep-2002,145.85
Oct-2002,147.43
Nov-2002,148.33
Dec-2002,147.28
Jan-2003,146.79
Feb-2003,147.18
Mar-2003,148.99
Apr-2003,150.42
May-2003,152.15
Jun-2003,153.3
Jul-2003,154.21
Aug-2003,154.97
Sep-2003,156.38
Oct-2003,157.63
Nov-2003,158.63
Dec-2003,158.58
Jan-2004,158.54
Feb-2004,159.19
Mar-2004,161.1
Apr-2004,164.29
May-2004,166.59
Jun-2004,168.57
Jul-2004,169.69
Aug-2004,170.9
Sep-2004,172.18
Oct-2004,173.97
Nov-2004,174.04
Dec-2004,173.42
Jan-2005,173.43
Feb-2005,174.76
Mar-2005,176.92
Apr-2005,179.04
May-2005,181.17
Jun-2005,181.33
Jul-2005,181.9
Aug-2005,181.67
Sep-2005,182.45
Oct-2005,182.07
Nov-2005,181.69
Dec-2005,179.44
Jan-2006,178.17
Feb-2006,176.28
Mar-2006,177.12
Apr-2006,177.62
May-2006,178.61
Jun-2006,177.9
Jul-2006,177.79
Aug-2006,177.28
Sep-2006,176.34
Oct-2006,175.72
Nov-2006,172.59
Dec-2006,170.31
Jan-2007,168.29
Feb-2007,168.04
Mar-2007,168.52
Apr-2007,169.61
May-2007,170.96
Jun-2007,171.29
Jul-2007,171.77
Aug-2007,170.84
Sep-2007,170.73
Oct-2007,169.33
Nov-2007,167.39
Dec-2007,164.58
Jan-2008,162.59
Feb-2008,160.31
Mar-2008,158.52
Apr-2008,158.68
May-2008,160.34
Jun-2008,162.29
Jul-2008,162.56
Aug-2008,162.73
Sep-2008,160.98
Oct-2008,159.17
Nov-2008,155.03
Dec-2008,153.05
Jan-2009,150.73
Feb-2009,148.77
Mar-2009,145.83
Apr-2009,146.45
May-2009,148.77
Jun-2009,152.71
Jul-2009,154.53
Aug-2009,155.94
Sep-2009,155.62
Oct-2009,154.71
Nov-2009,153.98
Dec-2009,153.78
Jan-2010,153.01
Feb-2010,151.42
Mar-2010,151.39
Apr-2010,153.56
May-2010,155.95
Jun-2010,157.83
Jul-2010,158.83
Aug-2010,158.35
Sep-2010,156.27
Oct-2010,154.34
Nov-2010,152.76
Dec-2010,152.52
Jan-2011,152.18
Feb-2011,149.83
Mar-2011,147.33
Apr-2011,147.06
May-2011,150.89
Jun-2011,154.46
Jul-2011,155.75
Aug-2011,155.58
Sep-2011,154.39
Oct-2011,152.7
Nov-2011,150.33
Dec-2011,148.53
Jan-2012,147.87
Feb-2012,146.26
Mar-2012,145.95
Apr-2012,147.16
May-2012,150.63
Jun-2012,154.4
Jul-2012,157.18
Aug-2012,158.26
Sep-2012,157.25
Oct-2012,155.11
Nov-2012,153.71
Dec-2012,153.81
Jan-2013,153.8
Feb-2013,153.9
Mar-2013,155.71
Apr-2013,159.13
May-2013,161.94
Jun-2013,164.75
Jul-2013,167.02
Aug-2013,168.26
Sep-2013,169.02
Oct-2013,168.42
Nov-2013,168.78
Dec-2013,168.65
Jan-2014,167.82
Feb-2014,166.98
Mar-2014,168.42
Apr-2014,173.54
May-2014,175.36
Jun-2014,176.23
Jul-2014,176.38
Aug-2014,176.58
Sep-2014,176.4
Oct-2014,175.6
Nov-2014,175.26
Dec-2014,174.95
Jan-2015,175.72
Feb-2015,175.36
Mar-2015,176.16
Apr-2015,176.62
May-2015,179.34
Jun-2015,181.94
Jul-2015,183.95
