Date ,National ,Boston
Jan-2000,100,100
Feb-2000,100.57,100.36
Mar-2000,101.46,101.31
Apr-2000,102.54,103.27
May-2000,103.7,105.85
Jun-2000,104.85,108.48
Jul-2000,105.72,110
Aug-2000,106.52,111.38
Sep-2000,107.13,112.67
Oct-2000,107.73,114.11
Nov-2000,108.29,115.36
Dec-2000,108.79,116.56
Jan-2001,109.22,117.67
Feb-2001,109.64,118.51
Mar-2001,110.39,119.94
Apr-2001,111.25,121.54
May-2001,112.2,123.11
Jun-2001,113.27,125.12
Jul-2001,114.23,126.76
Aug-2001,114.99,128.26
Sep-2001,115.47,129.62
Oct-2001,115.68,130.51
Nov-2001,115.84,130.94
Dec-2001,116.05,130.06
Jan-2002,116.44,129.93
Feb-2002,116.92,129.63
Mar-2002,117.93,131.21
Apr-2002,119.21,133.34
May-2002,120.79,136.76
Jun-2002,122.33,139.56
Jul-2002,123.69,141.77
Aug-2002,124.73,143.66
Sep-2002,125.49,145.85
Oct-2002,126.13,147.43
Nov-2002,126.64,148.33
Dec-2002,127.15,147.28
Jan-2003,127.65,146.79
Feb-2003,128.33,147.18
Mar-2003,129.31,148.99
Apr-2003,130.49,150.42
May-2003,131.84,152.15
Jun-2003,133.23,153.3
Jul-2003,134.65,154.21
Aug-2003,135.96,154.97
Sep-2003,137.08,156.38
Oct-2003,137.98,157.63
Nov-2003,138.77,158.63
Dec-2003,139.63,158.58
Jan-2004,140.71,158.54
Feb-2004,142.03,159.19
Mar-2004,144.08,161.1
Apr-2004,146.18,164.29
May-2004,148.33,166.59
Jun-2004,150.52,168.57
Jul-2004,152.34,169.69
Aug-2004,153.81,170.9
Sep-2004,155.11,172.18
Oct-2004,156.3,173.97
Nov-2004,157.5,174.04
Dec-2004,158.67,173.42
Jan-2005,160.13,173.43
Feb-2005,161.93,174.76
Mar-2005,164.58,176.92
Apr-2005,167,179.04
May-2005,169.54,181.17
Jun-2005,172.01,181.33
Jul-2005,174.1,181.9
Aug-2005,175.92,181.67
Sep-2005,177.61,182.45
Oct-2005,178.76,182.07
Nov-2005,179.68,181.69
Dec-2005,180.11,179.44
Jan-2006,180.83,178.17
Feb-2006,181.5,176.28
Mar-2006,182.75,177.12
Apr-2006,183.65,177.62
May-2006,184.39,178.61
Jun-2006,184.56,177.9
Jul-2006,184.62,177.79
Aug-2006,184.42,177.28
Sep-2006,184.21,176.34
Oct-2006,184.07,175.72
Nov-2006,183.64,172.59
Dec-2006,183.24,170.31
Jan-2007,182.73,168.29
Feb-2007,182.49,168.04
Mar-2007,182.21,168.52
Apr-2007,182.15,169.61
May-2007,181.9,170.96
Jun-2007,181.56,171.29
Jul-2007,181.01,171.77
Aug-2007,180.25,170.84
Sep-2007,179.14,170.73
Oct-2007,177.55,169.33
Nov-2007,175.19,167.39
Dec-2007,173.37,164.58
Jan-2008,171.11,162.59
Feb-2008,169.22,160.31
Mar-2008,167.93,158.52
Apr-2008,167.35,158.68
May-2008,167.05,160.34
Jun-2008,166.57,162.29
Jul-2008,165.75,162.56
Aug-2008,164.31,162.73
Sep-2008,161.94,160.98
Oct-2008,159.19,159.17
Nov-2008,156.1,155.03
Dec-2008,152.58,153.05
Jan-2009,149.39,150.73
Feb-2009,147.65,148.77
Mar-2009,146.55,145.83
Apr-2009,146.98,146.45
May-2009,148.21,148.77
Jun-2009,149.83,152.71
Jul-2009,150.78,154.53
Aug-2009,150.7,155.94
Sep-2009,149.66,155.62
Oct-2009,148.62,154.71
Nov-2009,147.97,153.98
Dec-2009,146.7,153.78
Jan-2010,145,153.01
Feb-2010,143.06,151.42
Mar-2010,143.6,151.39
Apr-2010,145.39,153.56
May-2010,147.03,155.95
Jun-2010,147.69,157.83
Jul-2010,147.54,158.83
Aug-2010,146.4,158.35
Sep-2010,144.58,156.27
Oct-2010,143.12,154.34
Nov-2010,141.82,152.76
Dec-2010,140.63,152.52
Jan-2011,139.05,152.18
Feb-2011,137.74,149.83
Mar-2011,137.79,147.33
Apr-2011,139.16,147.06
May-2011,140.69,150.89
Jun-2011,141.94,154.46
Jul-2011,142.34,155.75
Aug-2011,141.78,155.58
Sep-2011,140.16,154.39
Oct-2011,138.4,152.7
Nov-2011,136.66,150.33
Dec-2011,135.16,148.53
Jan-2012,134.17,147.87
Feb-2012,134.02,146.26
Mar-2012,135.9,145.95
Apr-2012,138.52,147.16
May-2012,141.1,150.63
Jun-2012,143.22,154.4
Jul-2012,144.32,157.18
Aug-2012,144.75,158.26
Sep-2012,144.4,157.25
Oct-2012,144.02,155.11
Nov-2012,144.02,153.71
Dec-2012,143.93,153.81
Jan-2013,144.37,153.8
Feb-2013,145.21,153.9
Mar-2013,148.01,155.71
Apr-2013,151.04,159.13
May-2013,153.94,161.94
Jun-2013,156.52,164.75
Jul-2013,158.38,167.02
Aug-2013,159.49,168.26
Sep-2013,159.78,169.02
Oct-2013,159.66,168.42
Nov-2013,159.48,168.78
Dec-2013,159.4,168.65
Jan-2014,159.49,167.82
Feb-2014,159.99,166.98
Mar-2014,161.31,168.42
Apr-2014,163.09,173.54
May-2014,164.82,175.36
Jun-2014,166.35,176.23
Jul-2014,167.27,176.38
Aug-2014,167.58,176.58
Sep-2014,167.37,176.4
Oct-2014,167.05,175.6
Nov-2014,166.81,175.26
Dec-2014,166.64,174.95
Jan-2015,166.45,175.72
Feb-2015,166.84,175.36
Mar-2015,168.32,176.16
Apr-2015,170.23,176.62
May-2015,172.21,179.34
Jun-2015,173.85,181.94
Jul-2015,175.1,183.95
