COMPNOS,NatureCode,INCIDENT_TYPE_DESCRIPTION,MAIN_CRIMECODE,REPTDISTRICT,REPORTINGAREA,FROMDATE,WEAPONTYPE,Shooting,DOMESTIC,SHIFT,Year,Month,DAY_WEEK,UCRPART,X,Y,STREETNAME,XSTREETNAME,Location
120424262,STAB  ,HOMICIDE,01xx,B2,288,07/10/2012 01:54:00 PM,Knife,No,No,Day,2012,7,Tuesday,Part One,767867.9908,2945540.519,MALCOLM X BL,,"(42.32997135, -71.08690455)"
120437067,PSHOT ,HOMICIDE,01xx,D4,161,07/16/2012 02:32:00 AM,Unarmed,Yes,No,Last,2012,7,Monday,Part One,773514.0605,2951649.023,SHAWMUT AV,HERALD ST,"(42.34665634, -71.06590956)"
120437148,PSHOT ,HOMICIDE,01xx,D4,161,07/16/2012 02:32:00 AM,Unarmed,Yes,No,Last,2012,7,Monday,Part One,773535.2876,2951727.483,SHAWMUT AV,HERALD ST,"(42.34687135, -71.06582957)"
120460288,PSHOT ,HOMICIDE,01xx,C11,357,07/25/2012 11:59:00 PM,Unarmed,Yes,No,Last,2012,7,Wednesday,Part One,772553.4617,2934410.452,DAKOTA ST,,"(42.29936636, -71.06978457)"
120464494,ALARMM,HOMICIDE,01xx,B3,470,07/27/2012 07:31:00 PM,Unarmed,Yes,No,First,2012,7,Friday,Part One,764332.3102,2925706.975,ITASCA ST,,"(42.27559322, -71.10032375)"
120472210,FIREB ,HOMICIDE,01xx,D14,938,07/31/2012 08:59:00 AM,Other,No,No,Day,2012,7,Tuesday,Part One,752693.6724,2951062.621,FIDELIS WY,,"(42.3453122, -71.14293624)"
120473784,STAB  ,HOMICIDE,01xx,B3,476,07/31/2012 09:24:00 PM,Unarmed,No,No,First,2012,7,Tuesday,Part One,766106.3913,2923092.665,BLUE HILL AV,,"(42.26839636, -71.09381455)"
120500089,SHOT  ,HOMICIDE,01xx,E18,818,08/12/2012 03:15:00 AM,Firearm,Yes,No,Last,2012,8,Sunday,Part One,761024.1098,2928229.677,CANTERBURY ST,,"(42.28255758, -71.11250516)"
120501456,PSHOT ,HOMICIDE,01xx,B3,456,08/12/2012 09:22:00 PM,Unarmed,Yes,No,First,2012,8,Sunday,Part One,769520.6679,2934702.57,HARLEM ST,,"(42.30020938, -71.08098959)"
120501716,SHOT  ,HOMICIDE,01xx,B3,456,08/12/2012 09:22:00 PM,Unarmed,Yes,No,First,2012,8,Sunday,Part One,769520.6679,2934702.57,HARLEM ST,,"(42.30020938, -71.08098959)"
120501720,SHOT  ,HOMICIDE,01xx,B3,456,08/12/2012 09:22:00 PM,Unarmed,Yes,No,First,2012,8,Sunday,Part One,769520.6679,2934702.57,HARLEM ST,,"(42.30020938, -71.08098959)"
120507531,STAB  ,HOMICIDE,01xx,B2,282,08/15/2012 02:43:00 PM,Knife,No,No,Day,2012,8,Wednesday,Part One,768830.7785,2944885.93,WARREN ST,,"(42.32816228, -71.08335584)"
120542700,SHOT  ,HOMICIDE,01xx,B3,437,08/31/2012 01:06:00 AM,Firearm,Yes,No,Last,2012,8,Friday,Part One,770357.0432,2930789.858,SOUTHERN AV,,"(42.28946136, -71.07796956)"
120567321,SHOT  ,HOMICIDE,01xx,B3,451,09/10/2012 06:39:00 PM,Firearm,Yes,No,First,2012,9,Monday,Part One,771569.3712,2932260.569,WHEATLAND AV,,"(42.29348053, -71.07346187)"
120567543,SHOTS ,HOMICIDE,01xx,B3,410,09/10/2012 08:38:00 PM,Unarmed,Yes,No,First,2012,9,Monday,Part One,771358.7331,2924985.937,SANFORD ST,,"(42.27352136, -71.07437456)"
120608837,SHOT  ,HOMICIDE,01xx,C11,352,09/27/2012 07:02:00 PM,Unarmed,Yes,No,First,2012,9,Thursday,Part One,773446.9064,2934810.372,GENEVA AV,,"(42.30045135, -71.06647456)"
120617658,SHOT  ,HOMICIDE,01xx,B2,308,10/01/2012 04:26:00 PM,Firearm,Yes,No,First,2012,10,Monday,Part One,767808.8692,2941926.166,BOWER ST,,"(42.3200542, -71.08718788)"
120618323,SHOT  ,HOMICIDE,01xx,C11,358,10/01/2012 10:03:00 PM,Unarmed,Yes,No,First,2012,10,Monday,Part One,774299.869,2933863.576,PARK ST,,"(42.29784135, -71.06333956)"
120626043,PSHOT ,HOMICIDE,01xx,D4,903,10/05/2012 02:02:00 AM,Firearm,Yes,No,Last,2012,10,Friday,Part One,769284.6658,2947795.935,TROTTER CT,,"(42.33614135, -71.08162456)"
